tree,treatment,origin,culture,stressed,serie 
1,intsub,int,sub,no,replacement
2,subsub,sub,sub,no,original
3,intsub,int,sub,no,original
4,subsub,sub,sub,no,replacement
5,intsub,int,sub,no,replacement
6,subsub,sub,sub,no,replacement
7,subsub,sub,sub,no,replacement
8,intsub,int,sub,no,replacement
9,subsub,sub,sub,no,replacement
10,intsub,int,sub,no,replacement
11,subsub,sub,sub,no,replacement
12,intsub,int,sub,no,replacement
13,subsub,sub,sub,yes,original
14,intsub,int,sub,yes,original
15,subsub,sub,sub,yes,original
16,subsub,sub,sub,yes,original
17,intsub,int,sub,yes,original
18,subsub,sub,sub,no,original
19,intsub,int,sub,yes,original
20,subsub,sub,sub,no,original
21,intsub,int,sub,no,original
22,intsub,int,sub,no,original
23,subsub,sub,sub,no,original
24,intsub,int,sub,no,original
25,intsub,int,sub,yes,original
26,subsub,sub,sub,yes,original
27,subsub,sub,sub,yes,original
28,subsub,sub,sub,yes,original
29,intsub,int,sub,yes,original
30,intsub,int,sub,yes,original
31,intint,int,int,yes,original
32,intint,int,int,yes,original
33,subint,sub,int,yes,original
34,subint,sub,int,yes,original
35,intint,int,int,yes,original
36,subint,sub,int,yes,original
37,subint,sub,int,no,original
38,subint,sub,int,yes,original
39,intint,int,int,no,original
40,subint,sub,int,yes,original
41,intint,int,int,yes,original
42,intint,int,int,yes,original
43,subint,sub,int,no,original
44,subint,sub,int,no,original
45,subint,sub,int,no,original
46,intint,int,int,yes,original
47,intint,int,int,no,original
48,subint,sub,int,yes,original
49,intint,int,int,no,original
50,subint,sub,int,no,original
51,subint,sub,int,no,original
52,intint,int,int,no,original
53,subint,sub,int,no,original
54,intint,int,int,no,original
55,intint,int,int,no,original
56,subint,sub,int,no,original
57,subint,sub,int,no,original
58,intint,int,int,no,original
59,intint,int,int,no,original
60,intint,int,int,no,original
